tm;season;avg_pts;avg_trb;avg_ast;total_games;distinct_players;season_year
ORL;2012;388.4375;175.125;82.5625;670;16;2012
ORL;2013;428.77777777777777;194.55555555555554;103.94444444444444;846;18;2013
ORL;2014;494.625;215.05.00;107.875;837;16;2014
ORL;2015;523.1333333333333;228.06.00;112.08.00;842;15;2015
ORL;2016;492.29411764705884;208.94117647058823;113.70588235294117;897;17;2016
ORL;2017;436.2105263157895;186.3684210526316;95.78947368421052;882;19;2017
ORL;2018;446.2631578947368;179.68421052631578;101.10526315789474;887;19;2018
ORL;2019;517.6470588235294;219.05882352941177;123.23529411764706;861;17;2019
ORL;2020;412.1578947368421;171.00.00;91.94736842105263;754;19;2020
ORL;2021;267.42857142857144;116.85714285714286;56.107142857142854;725;28;2021
ORL;2022;388.05.00;165.04545454545453;88.05.00;840;22;2022
ORL;2023;456.08.00;177.03.00;95.03.00;848;20;2023
ORL;2024;503.22222222222223;192.72222222222223;112.38888888888889;960;18;2024
ORL;2025;468.88235294117646;186.64705882352942;101.70588235294117;860;17;2025
PHI;1964;640.8571428571429;322.35714285714283;117.35714285714286;738;14;1964
PHI;1965;643.0714285714286;331.00.00;120.85714285714286;738;14;1965
PHI;1966;722.0769230769231;385.6923076923077;146.53846153846155;713;13;1966
PHI;1967;922.0909090909091;463.72727272727275;194.36363636363637;745;11;1967
PHI;1968;837.5833333333334;429.05.00;183.08333333333334;720;12;1968
PHI;1969;812.1666666666666;376.0833333333333;159.05.00;777;12;1969
PHI;1970;833.1666666666666;371.9166666666667;177.25.00;768;12;1970
PHI;1971;627.6666666666666;295.08.00;131.73333333333332;788;15;1971
PHI;1972;613.5333333333333;287.8666666666667;128.00.00;796;15;1972
PHI;1973;449.4736842105263;219.68421052631578;88.84210526315789;769;19;1973
PHI;1974;638.0769230769231;292.9230769230769;138.3846153846154;740;13;1974
PHI;1975;511.25.00;244.125;106.8125;762;16;1975
PHI;1976;582.3333333333334;271.26666666666665;110.53333333333333;811;15;1976
PHI;1977;645.2857142857143;288.92857142857144;140.42857142857142;802;14;1977
PHI;1978;672.0714285714286;285.2142857142857;158.57142857142858;816;14;1978
PHI;1979;641.6428571428571;275.7857142857143;160.92857142857142;780;14;1979
PHI;1980;639.2142857142857;273.00.00;159.00.00;747;14;1980
PHI;1981;704.3076923076923;285.3076923076923;182.23076923076923;812;13;1981
PHI;1982;701.4615384615385;263.0769230769231;174.15384615384616;852;13;1982
